Product ID,VN Name,EN Name,Brand,Category,Actual Price,Discount Price,Discount Rate,Variant,Star,Rating,Sold,Link
65994,Nước Hoa Hồng Klairs Không Mùi Cho Da Nhạy Cảm 180ml,Supple Preparation Unscented Toner,Klairs,Chăm Sóc Da Mặt / Làm Sạch Da / Toner / Nước Cân Bằng Da,435000,205000,53,180ml,4.8,119,5816.0,https://hasaki.vn/san-pham/nuoc-hoa-hong-khong-mui-klairs-danh-cho-da-nhay-cam-180ml-65994.html
102959,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 473ml,Foaming Cleanser,CeraVe,Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,455000,345000,24,473ml,4.9,71,2955.0,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-473ml-102959.html
19325,"Nước Tẩy Trang L'Oreal Tươi Mát Cho Da Dầu, Hỗn Hợp 400ml",Micellar Water 3-in-1 Refreshing Even For Sensitive Skin,L'Oreal,,229000,138000,40,400ml,4.7,294,4906.0,https://hasaki.vn/san-pham/nuoc-tay-trang-tuoi-mat-l-oreal-3-in-1-danh-cho-da-dau-da-hon-hop-400ml-19325.html
86167,Kem Chống Nắng Skin1004 Cho Da Nhạy Cảm SPF 50+ 50ml,Madagascar Centella Air-Fit Suncream Plus SPF50+ PA++++,Skin1004,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,445000,219000,51,50ml,4.6,91,2985.0,https://hasaki.vn/san-pham/kem-chong-nang-skin1004-chiet-xuat-rau-ma-spf50-pa-50ml-86167.html
119084,Sữa Chống Nắng Anessa Dưỡng Da Kiềm Dầu 60ml (Bản Mới 2024),Perfect UV Sunscreen Skincare Milk N SPF50+ PA++++,Anessa,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,715000,464000,35,60ml,4.9,12,1336.0,https://hasaki.vn/san-pham/sua-chong-nang-anessa-duong-da-kiem-dau-60ml-moi-119084.html
9740,Nước Tẩy Trang Bioderma Dành Cho Da Nhạy Cảm 500ml,Sensibio H2O,Bioderma,Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,525000,348000,34,500ml,4.9,218,1753.0,https://hasaki.vn/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-nhay-cam-500ml-9740.html
117680,Sữa Chống Nắng Anessa Cho Da Nhạy Cảm & Trẻ Em 60ml (Mới),Perfect UV Sunscreen Mild Milk (For Sensitive Skin) SPF50+/PA++++,Anessa,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,715000,464000,35,60ml,4.9,7,983.0,https://hasaki.vn/san-pham/sua-chong-nang-anessa-cho-da-nhay-cam-tre-em-60ml-moi-117680.html
11089,Nước Tẩy Trang Bioderma Dành Cho Da Dầu & Hỗn Hợp 500ml,Sébium H2O,Bioderma,Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,525000,348000,34,500ml,4.9,218,1286.0,https://hasaki.vn/san-pham/nuoc-tay-trang-bioderma-danh-cho-da-dau-hon-hop-500ml-11089.html
12684,Kem Chống Nắng La Roche-Posay Kiểm Soát Dầu SPF50+ 50ml,Anthelios UV Mune 400 Oil Control Gel-Cream,La Roche-Posay,Chăm Sóc Da Mặt / Chống Nắng Da Mặt,560000,373000,33,50ml,4.6,167,1145.0,https://hasaki.vn/san-pham/kem-chong-nang-la-roche-posay-kiem-soat-dau-spf50-50ml-12684.html
102957,Sữa Rửa Mặt CeraVe Sạch Sâu Cho Da Thường Đến Da Dầu 236ml,Foaming Cleanser,CeraVe,Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,340000,256000,25,236ml,4.9,71,1616.0,https://hasaki.vn/san-pham/sua-rua-mat-cerave-sach-sau-cho-da-thuong-den-da-dau-236ml-102957.html
123208,Serum La Roche-Posay Giảm Thâm Nám & Dưỡng Sáng Da 30ml,Mela B3 Serum,La Roche-Posay,Chăm Sóc Da Mặt / Đặc Trị / Serum / Tinh Chất,1300000,826000,36,30ml,4.7,11,495.0,https://hasaki.vn/san-pham/serum-la-roche-posay-giam-tham-nam-duong-sang-da-30ml-123208.html
96589,Combo 2 Nước Tẩy Trang Bí Đao Cocoon Làm Sạch & Giảm Dầu 500ml,Winter Melon Micellar Water,Cocoon,Chăm Sóc Da Mặt / Làm Sạch Da / Tẩy Trang Mặt,590000,251000,57,2x500ml,4.9,40,1613.0,https://hasaki.vn/san-pham/combo-2-nuoc-tay-trang-bi-dao-cocoon-lam-sach-giam-dau-500ml-96589.html
103543,Sữa Rửa Mặt Cetaphil Dịu Lành Cho Da Nhạy Cảm 500ml (Mới),Gentle Skin Cleanser (New),Cetaphil,Chăm Sóc Da Mặt / Làm Sạch Da / Sữa Rửa Mặt,419000,293000,30,500ml,4.5,32,1335.0,https://hasaki.vn/san-pham/sua-rua-mat-cetaphil-diu-nhe-khong-xa-phong-500ml-moi-103543.html
106681,Kem Dưỡng La Roche-Posay Giúp Phục Hồi Da Đa Công Dụng 40ml,Cicaplast Baume B5+ Ultra-Repairing Soothing Balm,La Roche-Posay,Chăm Sóc Da Mặt / Dưỡng Ẩm / Kem / Gel / Dầu Dưỡng,410000,280000,32,40ml,4.7,22,1349.0,https://hasaki.vn/san-pham/kem-duong-la-roche-posay-giup-phuc-hoi-da-da-cong-dung-40ml-106681.html
34119,Nước Tẩy Trang L'Oreal Làm Sạch Sâu Trang Điểm 400ml,Micellar Water 3-in-1 Deep Cleansing Even For Sensitive Skin,L'Oreal,,269000,154000,43,400ml,4.7,294,2439.0,https://hasaki.vn/san-pham/nuoc-tay-trang-l-oreal-3-in-1-lam-sach-sau-400ml-34119.html
